Familia,Producto Maestro,Nombre Variante PDF,Ancho,Gramaje,Reverso,Acabado,Color,Talle
"PAPELES","PAPEL RESPALDO","PAPEL RESPALDO","1,80","20","","","",""
"PAPELES","PAPEL RESPALDO","PAPEL RESPALDO","1,80","40","","","",""
"PAPELES","PAPEL RESPALDO","PAPEL RESPALDO","1,60","","","","",""
"PAPELES","PAPEL","PAPEL","1,83","52","","","MAGENTA",""
"PAPELES","PAPEL","PAPEL","1,83","29","","","MAGENTA",""
"PAPELES","PAPEL Br","PAPEL Br","1,83","","","","MAGENTA",""
"PAPELES","PAPEL","PAPEL","1,83","","","","MAGENTA",""
"PAPELES","PAPEL","PAPEL","1,60","","","","MAGENTA",""
"PAPELES","PAPEL SUBL","PAPEL SUBL","914mm","90","","","",""
"PAPELES","PAPEL SUBL","PAPEL SUBL","1118mm","90","","","",""
"PAPELES","PAPEL SUBL","PAPEL SUBL","1600mm","90","","","",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","CIAN",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","MAGENTA",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","YELLOW",""
"TINTAS","TINTA SUBLI AD","TINTA SUBLI AD","","","","","BLACK",""
"TINTAS","liquido de limpieza sublimacion","liquido de limpieza sublimacion","","","","","",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","BLANCO",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","CIAN",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","MAGENTA",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","YELLOW",""
"TINTAS","TINTA DTF","TINTA DTF","","","","","BLACK",""
"TINTAS","Liquido de Limpieza DTF","Liquido de Limpieza DTF","","","","","",""
"TINTAS","Liquido de Limpieza DTF Fuerte","Liquido de Limpieza DTF Fuerte","","","","","",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","BLANCO",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","CIAN",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","MAGENTA",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","YELLOW",""
"TINTAS","TINTA DTF UV","TINTA DTF UV","","","","","BLACK",""
"TINTAS","Liquido Limpieza DTF UV","Liquido Limpieza DTF UV","","","","","",""
"TINTAS","BARNIZ","BARNIZ","","","","","",""
"TINTAS","TINTA UV","TINTA UV","","","","","CIAN",""
"TINTAS","TINTA UV","TINTA UV","","","","","MAGENTA",""
"TINTAS","TINTA UV","TINTA UV","","","","","YELLOW",""
"TINTAS","TINTA UV","TINTA UV","","","","","BLACK",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","CIAN",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","MAGENTA",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","YELLOW",""
"TINTAS","TINTA ECOSOLVENTE","TINTA ECOSOLVENTE","","","","","BLACK",""
"TINTAS","Liquido Limpieza ECO SOLVENTE","Liquido Limpieza ECO SOLVENTE","","","","","",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","CIAN",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","MAGENTA",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","YELLOW",""
"TINTAS","TINTA SUBLI Directa","TINTA SUBLI Directa","","","","","BLACK",""
"TINTAS","TINTA SUBLI FLUORESCENTE","TINTA SUBLI FLUORESCENTE","","","","","MAGENTA",""
"TINTAS","TINTA SUBLI FLUORESCENTE","TINTA SUBLI FLUORESCENTE","","","","","YELLOW",""
"TINTAS","TINTA DTF FLUORESCENTE","TINTA DTF FLUORESCENTE","","","","","MAGENTA",""
"TINTAS","TINTA DTF FLUORESCENTE","TINTA DTF FLUORESCENTE","","","","","YELLOW",""
"TINTAS","TINTA DTF FLUORESCENTE O","TINTA DTF FLUORESCENTE O","","","","","",""
"TINTAS","TINTA DTF FLUORESCENTE","TINTA DTF FLUORESCENTE","","","","","",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","CIAN",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","MAGENTA",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","YELLOW",""
"TINTAS","TINTA MIMAKI INTA","TINTA MIMAKI INTA","","","","","BLACK",""
"TINTAS","TINTA ECO","TINTA ECO","","","","","CIAN",""
"TINTAS","TINTA ECO","TINTA ECO","","","","","MAGENTA",""
"TINTAS","TINTA ECO","TINTA ECO","","","","","YELLOW",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT BARNIZ","TINTA UV TEXTIL SUPER SOFT BARNIZ","","","","","",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","CIAN",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","MAGENTA",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","YELLOW",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","BLACK",""
"TINTAS","TINTA UV TEXTIL SUPER SOFT","TINTA UV TEXTIL SUPER SOFT","","","","","BLANCO",""
"TINTAS","Liquido Pre Tratamiento","Liquido Pre Tratamiento","","","","","",""
"TINTAS","Liquido de limpieza de impresion directa","Liquido de limpieza de impresion directa","","","","","",""
"TINTAS","TINTA SUBLI AD PRUEBA","TINTA SUBLI AD PRUEBA","","","","","CIAN",""
"TINTAS","TINTA SUBLI AD PRUEBA","TINTA SUBLI AD PRUEBA","","","","","MAGENTA",""
"TINTAS","TINTA SUBLI AD PRUEBA","TINTA SUBLI AD PRUEBA","","","","","YELLOW",""
"TINTAS","TINTA SUBLI AD PRUEBA","TINTA SUBLI AD PRUEBA","","","","","BLACK",""
"PET","FILM COMUN","FILM COMUN","","","","","",""
"PET","FILM HOT","FILM HOT","","","","","",""
"PET","FILM HOT","FILM HOT","120X100","","","","",""
"PET","FILM LUMINISCENTE","FILM LUMINISCENTE","","","","","",""
"PET","FILM PLATEADO","FILM PLATEADO","","","","","",""
"PET","FILM DORADO","FILM DORADO","","","","","",""
"PET","FILM GLITTER","FILM GLITTER","","","","","",""
"PET","FILM TORNASOLADO","FILM TORNASOLADO","","","","","",""
"PET","FILM CAMALEON","FILM CAMALEON","","","","","",""
"PET","FILM REFLECTIVO","FILM REFLECTIVO","","","","","",""
"PET","FILM UV","FILM UV","","","","","",""
"PET","FILM COMUN FRIO CMXCM","FILM COMUN FRIO CMXCM","","","","","",""
"PET","FILM HOT CMXCM","FILM HOT CMXCM","","","","","",""
"PET","Film uv DTF CMXCM","Film uv DTF CMXCM","","","","","BLANCO",""
"PET","film uv DTF Transparente","film uv DTF Transparente","60cm","","","","",""
"PET","film uv DTF Transparente","film uv DTF Transparente","30cm","","","","",""
"POLIAMIDA","POLIAMIDA","POLIAMIDA","","","","","BLANCO",""
"POLIAMIDA","POLIAMIDA ESPECIAL","POLIAMIDA ESPECIAL","","","","","BLANCO",""
"POLIAMIDA","POLIAMIDA NEGRA","POLIAMIDA NEGRA","","","","","",""
"TELAS","DRY","DRY","1,80","","","","",""
"TELAS","DRY","DRY","1,70","","","","",""
"TELAS","ADIS","ADIS","1,60","","","","",""
"TELAS","ADIS ELASTIZADO","ADIS ELASTIZADO","1,80","","","","",""
"TELAS","BANDERA COMÚN","BANDERA COMÚN","1,60","","","","",""
"TELAS","BANDERA COMÚN","BANDERA COMÚN","3,20","","","","",""
"TELAS","BANDERA FINA","BANDERA FINA","1,60","","","","",""
"TELAS","BANDERA MESH","BANDERA MESH","1,60","","","","",""
"TELAS","DEPORTIVO","DEPORTIVO","1,60","","","","",""
"TELAS","DRY LISO","DRY LISO","1,80","","","","",""
"TELAS","DRY LISO","DRY LISO","1,60","","","","",""
"TELAS","DRY POROSO","DRY POROSO","","","","","",""
"TELAS","FORRO SATEN","FORRO SATEN","1,60","","","","",""
"TELAS","HEXAGONAL","HEXAGONAL","1,80","","","","",""
"TELAS","JACQUARD JACQUARD MICROFIBRA MICROPOLAR MODAL","JACQUARD JACQUARD MICROFIBRA MICROPOLAR MODAL","1,60","","","","",""
"TELAS","MYKONOS","MYKONOS","1,60","","","","",""
"TELAS","MYKONOS","MYKONOS","1,80","","","","",""
"TELAS","PANAMA","PANAMA","1,60","","","","",""
"TELAS","DRY PRO","DRY PRO","1,60","","","","",""
"TELAS","POLAR","POLAR","1,50","","","","",""
"TELAS","LYCRA","LYCRA","1,60","","","","",""
"TELAS","TOALLA","TOALLA","1,80","","","","",""
"TELAS","TOALLA","TOALLA","1,50","","","","",""
"TELAS","NÁUTICA","NÁUTICA","1,50","","","","",""
"TELAS","JACQUARD ELITE","JACQUARD ELITE","1,80","","","","",""
"TELAS","JACQUARD SUPREME","JACQUARD SUPREME","1,80","","","","",""
"TELAS","JACQUARD CHARRUA","JACQUARD CHARRUA","1,80","","","","",""
"TELAS","RIB JACQUARD","RIB JACQUARD","1,60","","","","",""
"TELAS","SCUBA","SCUBA","1,80","","","","",""
"TELAS","DRY PRO","DRY PRO","1,80","","","","",""
"TELAS","DRY EXCLUSIVE","DRY EXCLUSIVE","1,80","","","","",""
"TELAS","ADIS ELASTIZADO","ADIS ELASTIZADO","1,50","","","","",""
"TELAS","INTERLOCK","INTERLOCK","1,80","","","","",""
"TELAS","modal","modal","1,60","","","","",""
"TELAS","PIQUE","PIQUE","1,80","","","","",""
"TELAS","SUPLEX","SUPLEX","1,60","","","","",""
"TELAS","CAJA BANDERAS","CAJA BANDERAS","1,50","","","","",""
"TELAS","Jacquard City","Jacquard City","","","","","",""
"TELAS","Dry Milan","Dry Milan","","","","","",""
"TELAS","Microfibra RV Waterproof","Microfibra RV Waterproof","","","","","",""
"TELAS","Microfibra Short","Microfibra Short","","","","","",""
"TELAS","INTERLOCK Grueso","INTERLOCK Grueso","","","","","",""
"TELAS","DELTA","DELTA","","","","","",""
"TELAS","GRID","GRID","","","","","",""
"TELAS","NAGASAKI **LONAS, VINILOS, OTROS** FRONTLIGTH BRI Reverso","NAGASAKI **LONAS, VINILOS, OTROS** FRONTLIGTH BRI Reverso","1,60","","BLANCO","BRILLO","BLANCO",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH MAT Reverso","FRONTLIGTH MAT Reverso","","","BLANCO","","BLANCO",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH BRI Reverso gris","FRONTLIGTH BRI Reverso gris","1,60","","GRIS","BRILLO","",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH MAT Reverso gris","FRONTLIGTH MAT Reverso gris","","","GRIS","","",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH MAT Reverso","FRONTLIGTH MAT Reverso","3,20","","BLANCO","MATE","BLANCO",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH BRI Reverso","FRONTLIGTH BRI Reverso","3,20","","BLANCO","BRILLO","BLANCO",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH MAT Reverso gris","FRONTLIGTH MAT Reverso gris","3,20","","GRIS","MATE","",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH BRI Reverso gris","FRONTLIGTH BRI Reverso gris","3,20","","GRIS","BRILLO","",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH BRI Reverso","FRONTLIGTH BRI Reverso","3,20","","NEGRO","BRILLO","",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH MAT Reverso","FRONTLIGTH MAT Reverso","3,20","","NEGRO","MATE","BLACK",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH MAT Reverso","FRONTLIGTH MAT Reverso","","","NEGRO","","BLACK",""
"LONAS, VINILOS Y OTROS","FRONTLIGTH BRI Reverso","FRONTLIGTH BRI Reverso","1,60","","NEGRO","BRILLO","",""
"LONAS, VINILOS Y OTROS","LONA FRONT BRILLO","LONA FRONT BRILLO","3,20","","","BRILLO","",""
"LONAS, VINILOS Y OTROS","LONA FRONT MATE","LONA FRONT MATE","3,20","","","MATE","",""
"LONAS, VINILOS Y OTROS","LONA FRONT BACKLIGHT","LONA FRONT BACKLIGHT","3,20","","","","",""
"LONAS, VINILOS Y OTROS","LONA MESH","LONA MESH","3,20","","","","",""
"LONAS, VINILOS Y OTROS","LONA PU","LONA PU","3,20","","","","",""
"LONAS, VINILOS Y OTROS","VINILO BRILLANTE","VINILO BRILLANTE","","","","BRILLO","",""
"LONAS, VINILOS Y OTROS","VINILO MATE","VINILO MATE","","","","MATE","",""
"LONAS, VINILOS Y OTROS","VINILO MICROPERFORADO","VINILO MICROPERFORADO","","","","","",""
"LONAS, VINILOS Y OTROS","Canvas","Canvas","0,91","","","","",""
"LONAS, VINILOS Y OTROS","Canvas","Canvas","1,27","","","","",""
"LONAS, VINILOS Y OTROS","Vinilo Brillo R/ xm","Vinilo Brillo R/ xm","1,52","","BLANCO","BRILLO","BLANCO",""
"LONAS, VINILOS Y OTROS","Vinilo Brillo R/ xm","Vinilo Brillo R/ xm","0,91","","BLANCO","BRILLO","BLANCO",""
"LONAS, VINILOS Y OTROS","Vinilo Mate R/ xm","Vinilo Mate R/ xm","1,52","","BLANCO","MATE","BLANCO",""
"LONAS, VINILOS Y OTROS","Vinilo Mate R/ xm","Vinilo Mate R/ xm","0,91","","BLANCO","MATE","BLANCO",""
"PET","Banner Pet semibrillo xm","Banner Pet semibrillo xm","0,91","","","SEMIBRILLO","",""
"PET","Banner Pet mate xm","Banner Pet mate xm","0,91","","","MATE","",""
"PET","Back Pet xm","Back Pet xm","0,915","","","","",""
"LONAS, VINILOS Y OTROS","Vinilo Vehicular xm","Vinilo Vehicular xm","1,52","","","","",""
"LONAS, VINILOS Y OTROS","Vinilo Brillo A/Gris xm","Vinilo Brillo A/Gris xm","1,37","","","BRILLO","",""
"LONAS, VINILOS Y OTROS","Vinilo Brillo A/Gris xm Vinilo Brillo A/Transparente xm Vinilo Brillo A/Transparente xm","Vinilo Brillo A/Gris xm Vinilo Brillo A/Transparente xm Vinilo Brillo A/Transparente xm","1,52","","","BRILLO","",""
"LONAS, VINILOS Y OTROS","Vinilo Mate A/Gris xm","Vinilo Mate A/Gris xm","1,52","","","MATE","",""
"LONAS, VINILOS Y OTROS","Vinilo Microperforado Reverso","Vinilo Microperforado Reverso","0,98","","NEGRO","","MAGENTA",""
"LONAS, VINILOS Y OTROS","Vinilo Microperforado Reverso","Vinilo Microperforado Reverso","1,52","","NEGRO","","MAGENTA",""
"PAPELES","Papel de Foto xm","Papel de Foto xm","0,91","","","","",""
"LONAS, VINILOS Y OTROS","CAR FLAG POLE","CAR FLAG POLE","80X200","","","","",""
"LONAS, VINILOS Y OTROS","STEEL ROLL","STEEL ROLL","","","","","",""
"TPU","WHITE MATTE/SHINY TPU","WHITE MATTE/SHINY TPU","","","","","BLANCO",""
"TPU","HOT MELT TPU FILM","HOT MELT TPU FILM","","","","","",""
"TPU","FILM GOLD TPU","FILM GOLD TPU","","","","","",""
"TPU","FILM SILVER TPU","FILM SILVER TPU","","","","","",""
"TPU","FILM PROTECTOR TPU","FILM PROTECTOR TPU","","","","","",""
"TPU","FILM LOCALIZADOR TPU","FILM LOCALIZADOR TPU","","","","","",""
"ARTICULOS","MEDIA ANTIDESLIZANTE NEGRA","MEDIA ANTIDESLIZANTE NEGRA","","","","","",""
"ARTICULOS","MEDIA ANTIDESLIZANTE","MEDIA ANTIDESLIZANTE","","","","","BLANCO",""
"ARTICULOS","MEDIA ANTIDESLIZANTE","MEDIA ANTIDESLIZANTE","","","","","AZUL FRANCIA",""
"ARTICULOS","MEDIA ANTIDESLIZANTE","MEDIA ANTIDESLIZANTE","","","","","AZUL MARINO",""
"ARTICULOS","MEDIA ANTIDESLIZANTE","MEDIA ANTIDESLIZANTE","","","","","ROJO",""
"ARTICULOS","MEDIA ANTIDESLIZANTE","MEDIA ANTIDESLIZANTE","","","","","AMARILLO",""
"ARTICULOS","MEDIA ANTIDESLIZANTE","MEDIA ANTIDESLIZANTE","","","","","VERDE",""
"ARTICULOS","CAÑA NEGRA","CAÑA NEGRA","","","","","",""
"ARTICULOS","CAÑA","CAÑA","","","","","BLANCO",""
"ARTICULOS","CAÑA","CAÑA","","","","","AZUL FRANCIA",""
"ARTICULOS","CAÑA","CAÑA","","","","","AZUL MARINO",""
"ARTICULOS","CAÑA","CAÑA","","","","","ROJO",""
"ARTICULOS","CAÑA","CAÑA","","","","","VERDE",""
"ARTICULOS","SHORT","SHORT","","","","","NEGRO",""
"ARTICULOS","SHORT","SHORT","","","","","BLANCO",""
"ARTICULOS","SHORT","SHORT","","","","","AZUL MARINO",""
"ARTICULOS","SHORT XL SHORT","SHORT XL SHORT","","","","","AZUL MARINO",""
"ARTICULOS","SHORT","SHORT","","","","","AZUL FRANCIA",""
"ARTICULOS","SHORT","SHORT","","","","","ROJO",""
"ARTICULOS","SHORT","SHORT","","","","","VERDE",""
"ARTICULOS","MAQUINA PATILLERA","MAQUINA PATILLERA","","","","","",""
"ARTICULOS","Estructuras Roll Up Fuerte","Estructuras Roll Up Fuerte","80X200","","","","",""
"ARTICULOS","Estructuras Roll Up comun de aluminio","Estructuras Roll Up comun de aluminio","80X200","","","","",""
"ARTICULOS","Backing Pop Up (Soporte para Tela)","Backing Pop Up (Soporte para Tela)","","","","","",""
"ARTICULOS","Palo de Bandera para Auto","Palo de Bandera para Auto","","","","","",""
"ARTICULOS","CAJAS","CAJAS","","","","","",""
"ARTICULOS","Auriculares","Auriculares","","","","","",""
"ARTICULOS","Gorras de invierno","Gorras de invierno","","","","","",""