Producto Maestro (Nombre),Unidad de Medida,Ejemplo Item Completo
"PAPEL RESPALDO","mts", "PAPEL RESPALDO 1,80 (20g)"
"PAPEL","mts", "PAPEL 1,83 M (1000 Mts) (52g)"
"PAPEL SUBL","mts", "PAPEL SUBL 100m 914mm 90gsm"
"T-SUBLI AD","lts", "T-SUBLI AD C"
"liquido de limpieza sublimacion","", "liquido de limpieza sublimacion"
"T-DTF","", "T-DTF BLANCA"
"Liquido de Limpieza DTF","", "Liquido de Limpieza DTF"
"Liquido de Limpieza DTF Fuerte","", "Liquido de Limpieza DTF Fuerte"
"T-DTF UV","", "T-DTF UV BLANCA"
"Liquido Limpieza DTF UV","", "Liquido Limpieza DTF UV"
"BARNIZ","", "BARNIZ"
"T-F- UV","", "T-F- UV C"
"T-ECO S","", "T-ECO S C"
"Liquido Limpieza ECO SOLVENTE","", "Liquido Limpieza ECO SOLVENTE"
"T-SUBLI Directa","", "T-SUBLI C Directa"
"T- SUBLI FLUORESCENTE","", "T- SUBLI FLUORESCENTE M"
"T-DTF FLUORESCENTE","", "T-DTF FLUORESCENTE M"
"T-DTF FLUORESCENTE O","", "T-DTF FLUORESCENTE O"
"T-DTF FLUORESCENTE G","", "T-DTF FLUORESCENTE G"
"MIMAKI T","", "MIMAKI T- C"
"ECO T","", "ECO T C"
"T-UV -TEXTIL-SUPER SOFT BARNIZ","", "T-UV -TEXTIL-SUPER SOFT BARNIZ"
"T-UV -TEXTIL-SUPER SOFT","", "T-UV -TEXTIL-SUPER SOFT-CYAN"
"Liquido Pre Tratamiento","", "Liquido Pre Tratamiento"
"Liquido de limpieza de impresion directa","", "Liquido de limpieza de impresion directa"
"T-SUBLI AD PRUEBA","", "T-SUBLI AD C PRUEBA"
"FILM COMUN","", "FILM COMUN"
"FILM HOT X","", "FILM HOT X2"
"FILM","", "FILM 120X100 HOT"
"FILM LUMINISCENTE","", "FILM LUMINISCENTE"
"FILM PLATEADO","", "FILM PLATEADO"
"FILM DORADO","", "FILM DORADO"
"FILM GLITTER","", "FILM GLITTER"
"FILM TORNASOLADO","", "FILM TORNASOLADO"
"FILM CAMALEON","", "FILM CAMALEON"
"FILM REFLECTIVO","", "FILM REFLECTIVO"
"FILM UV","", "FILM UV"
"FILM COMUN FRIO X","", "FILM COMUN FRIO X4 (30CMX100CM)"
"Film uv DTF Blanco","", "Film uv DTF Blanco (60CMX100CM)"
"film uv DTF Transparente","", "film uv DTF Transparente 60cm"
"POLIAMIDA BLANCA","", "POLIAMIDA BLANCA"
"POLIAMIDA BLANCA ESPECIAL","", "POLIAMIDA BLANCA ESPECIAL"
"POLIAMIDA NEGRA","", "POLIAMIDA NEGRA 0"
"DRY","", "DRY 1,80"
"ADIS","", "ADIS 1,60"
"ADIS ELASTIZADO","", "ADIS ELASTIZADO 1,80"
"BANDERA COMÚN","", "BANDERA COMÚN 1,60"
"BANDERA FINA","", "BANDERA FINA 1,60"
"BANDERA MESH","", "BANDERA MESH 1,60"
"DEPORTIVO","", "DEPORTIVO 1,60"
"DRY LISO","", "DRY LISO 1,80"
"DRY POROSO","", "DRY POROSO"
"FORRO SATEN","", "FORRO SATEN 1,60"
"HEXAGONAL","", "HEXAGONAL 1,80"
"JACQUARD","", "JACQUARD 1,60 JACQUARD 1,80 MICROFIBRA 1,60 MICROPOLAR 1,60 MODAL 1,80"
"MYKONOS","", "MYKONOS 1,60"
"PANAMA","", "PANAMA 1,60"
"DRY PRO","", "DRY PRO 1,60"
"POLAR","", "POLAR 1,50"
"LYCRA","", "LYCRA 1,60"
"TOALLA","", "TOALLA 1,80"
"NÁUTICA","", "NÁUTICA 1,50"
"JACQUARD ELITE","", "JACQUARD ELITE 1,80"
"JACQUARD SUPREME","", "JACQUARD SUPREME 1,80"
"JACQUARD CHARRUA","", "JACQUARD CHARRUA 1,80"
"RIB JACQUARD","", "RIB JACQUARD 1,60"
"SCUBA","", "SCUBA 1,80"
"DRY EXCLUSIVE","", "DRY EXCLUSIVE 1,80"
"INTERLOCK","", "INTERLOCK 1,80"
"modal","", "modal 1,60"
"PIQUE","", "PIQUE 1,80"
"SUPLEX","", "SUPLEX 1,60"
"CAJA BANDERAS X","", "CAJA BANDERAS X100 1,50 X 0,90"
"Jacquard City","", "Jacquard City"
"Dry Milan","", "Dry Milan"
"Microfibra RV Waterproof","", "Microfibra RV Waterproof"
"Microfibra Short","", "Microfibra Short"
"INTERLOCK Grueso","", "INTERLOCK Grueso"
"DELTA","", "DELTA"
"GRID","", "GRID"
"NAGASAKI","", "NAGASAKI 24 **LONAS, VINILOS, OTROS** FRONTLIGTH BRI 1,60 (Reverso blanco)"
"FRONTLIGTH MAT","", "FRONTLIGTH MAT1,60 (Reverso blanco)"
"FRONTLIGTH BRI","", "FRONTLIGTH BRI 1,60 (Reverso gris)"
"LONA FRONT","", "LONA FRONT 3.20 BRILLO"
"LONA MESH","", "LONA MESH 3.20"
"LONA PU","", "LONA PU 3.20"
"VINILO BRILLANTE","", "VINILO BRILLANTE"
"VINILO MATE","", "VINILO MATE"
"VINILO MICROPERFORADO","", "VINILO MICROPERFORADO"
"Canvas","", "Canvas 0,91"
"Vinilo Brillo R/Blanco x","", "Vinilo Brillo R/Blanco x50m (1,52)"
"Vinilo Mate R/Blanco x","", "Vinilo Mate R/Blanco x50m (1,52)"
"Banner Pet semibrillo x","", "Banner Pet semibrillo x50m (0,91)"
"Banner Pet mate x","", "Banner Pet mate x50m (0,91)"
"Back Pet x","", "Back Pet x50m (0,915)"
"Vinilo Vehicular x","", "Vinilo Vehicular x58m (1,52)"
"Vinilo Brillo A/Gris x","", "Vinilo Brillo A/Gris x50m (1,37)"
"Vinilo Mate A/Gris x","", "Vinilo Mate A/Gris x50m (1,52)"
"Papel de Foto x","", "Papel de Foto x30m (0,91)"
"CAR FLAG POLE","", "CAR FLAG POLE 80X200"
"STEEL ROLL","", "STEEL ROLL 20 0"
"WHITE MATTE/SHINY TPU","", "WHITE MATTE/SHINY TPU"
"HOT MELT TPU FILM","", "HOT MELT TPU FILM"
"FILM GOLD TPU","", "FILM GOLD TPU"
"FILM SILVER TPU","", "FILM SILVER TPU"
"FILM PROTECTOR TPU","", "FILM PROTECTOR TPU"
"FILM LOCALIZADOR TPU","", "FILM LOCALIZADOR TPU 787"
"MEDIA ANTIDESLIZANTE NEGRA","", "MEDIA ANTIDESLIZANTE NEGRA"
"MEDIA ANTIDESLIZANTE","", "MEDIA ANTIDESLIZANTE BLANCO"
"CAÑA NEGRA","", "CAÑA NEGRA"
"CAÑA BLANCA","", "CAÑA BLANCA"
"CAÑA","", "CAÑA AZUL FRANCIA"
"SHORT","", "SHORT NEGRO S"
"SHORT XL SHORT","", "SHORT AZUL MARINO XL SHORT AZUL MARINO XXL"
"MAQUINA PATILLERA","", "MAQUINA PATILLERA"
"Estructuras Roll Up Fuerte","", "Estructuras Roll Up Fuerte 80x200 cm Estructuras Roll Up común de aluminio 80x200 cm Backing Pop Up (Soporte para Tela) Palo de Bandera para Auto CAJAS Auriculares Gorras de invierno"
